IČO organizace:2;Název organizace:;Právní forma:;Velikostní kategorie:;Adresa:;Kraj:;Okres:;Obec:;Datum vzniku:;Rok vzniku:;Instituce v likvidaci:;Činnost:;Obor:;Nadační kapitál:;Statutární orgán:;Zakladatel:;Počet pobočných spolků:;Popis účelu:;Živnostenské oprávnění:;X:;Y:;GlobalID;x;y
539104;Tělovýchovná jednota Pankrác, spolek;Spolek;6 - 9 zaměstnanců;Praha, 14000, Nusle (Praha 4), Lomnického 1071/1;Hlavní město Praha;Praha;Praha;08/05/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,432";"50,057";9e6726ba-c767-4500-8cb3-d47cb8ef0f27;"14,432";"50,057"
539112;Tělovýchovná jednota Praga, z.s.;Spolek;Neuvedeno;Praha, 19000, Vysočany (Praha 9), Sokolovská 986/304a;Hlavní město Praha;Praha;Praha;14/05/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,496";"50,109";e874047f-f10c-4f27-9af1-2e4c9cf2f29d;"14,496";"50,109"
539147;Křesťanská misijní společnost;Spolek;6 - 9 zaměstnanců;Praha, 18200, Kobylisy, Pod náměstím 136/8;Hlavní město Praha;Praha;Praha;21/05/1990;"1 990";aktivní;NÁBOŽENSTVÍ;Náboženství a církve;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,459";"50,121";4e3542bd-cd17-4b70-b3af-e6c90830c611;"14,459";"50,121"
539155;Svaz vodáků České republiky, z.s.;Spolek;Neuvedeno;Praha, 17000, Holešovice (Praha 7), U Pergamenky 1511/3;Hlavní město Praha;Praha;Praha;22/05/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,451";"50,108";ecbc9457-49b1-4c0e-bd47-aad107f5eaf6;"14,451";"50,108"
539171;Česká společnost průmyslové chemie;Spolek;Neuvedeno;Praha, 11000, Staré Město, Novotného lávka 200/5;Hlavní město Praha;Praha;Praha;05/06/1990;"1 990";aktivní;Výzkum a vývoj v oblasti služeb jinde neuvedených;Výzkum;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,413";"50,085";f6fe9a76-17a7-4d16-a715-e257cf24dba2;"14,413";"50,085"
539180;Český svaz biatlonu, z.s.;Spolek;1 - 5 zaměstnanců;Praha, 17000, Holešovice (Praha 7), U Pergamenky 1511/3;Hlavní město Praha;Praha;Praha;08/05/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,451";"50,108";37f5dc8e-7bb3-4049-8b69-2ce29e43d079;"14,451";"50,108"
530786;AMK AUTOTOURING KLUB BRNO;Pobočný spolek;Neuvedeno;Koliště 820/51, Zábrdovice, 602 00 Brno;Jihomoravský kraj;Brno-město;Brno;30/04/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"16,611";"49,199";8723ba99-63bf-4f5f-b867-495d0b0eb07e;"16,611";"49,199"
465925;OBEC BARÁČNÍKŮ ČESKÁ KAMENICE;Pobočný spolek;Neuvedeno;Česká Kamenice,;Ústecký kraj;Děčín;Česká Kamenice;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,418";"50,798";a3f2e068-4a53-4cd4-a090-a92551329c17;"14,418";"50,798"
499625;Studentský kroužek Endre Adyho - Ady Endre Diákkör, z.s.;Spolek;Neuvedeno;Praha, 11000, Nové Město (Praha 1), Jindřišská 973/30;Hlavní město Praha;Praha;Praha;10/04/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,422";"50,085";c2cf4378-0d5f-42a1-9552-4fcd020209ce;"14,422";"50,085"
530883;Kongregace sester Nejsvětějšího Spasitele;Evidované církevní právnické osoby;Neuvedeno;Znojmo, 66902, Znojmo, Palackého 1154/25;Jihomoravský kraj;Znojmo;Znojmo;01/06/1991;"1 991";aktivní;NÁBOŽENSTVÍ;Náboženství a církve;není k dispozici;není k dispozici;Církev římskokatolická, Thákurova 676/3, Praha 6-Dejvice, 16000, IČ 73632848;není k dispozici;není k dispozici;NE;"16,06";"48,859";b84e659f-af6d-4818-9363-0c8e5d826d59;"16,06";"48,859"
476561;TJ VS Tábor, z.s.;Spolek;1 - 5 zaměstnanců;Tábor, 39002, Tábor, Bydlinského 2867;Jihočeský kraj;Tábor;Tábor;16/05/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;Předseda,Místopředseda;není k dispozici;0;Provozování sportovní a tělovýchovné činnosti mládeže,dospělých a seniorů;ANO;"14,681";"49,407";4ab32ccd-75d8-4f65-910a-d0160a580c96;"14,681";"49,407"
465933;OBEC BARÁČNÍKŮ VESELÉ;Pobočný spolek;Neuvedeno;Veselé,;Ústecký kraj;Děčín;Veselé;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,376";"50,781";3eb99fca-f029-4e30-bfe2-4531d3d4031b;"14,376";"50,781"
539350;Svaz modelářů České republiky z.s.;Spolek;1 - 5 zaměstnanců;Praha, 17000, Holešovice (Praha 7), U Pergamenky 1511/3;Hlavní město Praha;Praha;Praha;06/06/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,451";"50,108";fbb494b1-9a6a-46c2-ad6d-417129e08a92;"14,451";"50,108"
476579;FK Řepeč - Opařany, z.s.;Spolek;Neuvedeno;Řepeč, 39161, Řepeč 103;Jihočeský kraj;Tábor;Řepeč;17/05/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;Statutární orgán;není k dispozici;0;sportovní činnost;NE;"14,513";"49,404";d31d67c1-7f02-4b02-8edc-df7e7e524e67;"14,513";"49,404"
499676;Institut pro středoevropskou kulturu a politiku;Spolek;Neuvedeno;Praha, 12800, Nové Město (Praha 2), Vyšehradská 1349/2;Hlavní město Praha;Praha;Praha;20/12/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,417";"50,068";2b439d78-4910-4d84-be41-a4c48975a504;"14,417";"50,068"
512851;Český rybářský svaz, z. s., místní organizace Studená;Pobočný spolek;Neuvedeno;Studená, 37856, Studená, Jiráskova 91;Jihočeský kraj;Jindřichův Hradec;Studená;20/08/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"15,29";"49,19";5a0c7223-330f-44de-a85e-96d7d0bf99ef;"15,29";"49,19"
482714;Český rybářský svaz, z. s., místní organizace Mimoň;Pobočný spolek;Neuvedeno;Mimoň, 47124, Mimoň IV, V Lukách 84;Liberecký kraj;Česká Lípa;Mimoň;01/06/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,727";"50,66";90acce86-af24-4a1d-8763-9b9d04d6a447;"14,727";"50,66"
539384;Asociace manželských a rodinných poradců České republiky, zapsaný spolek;Spolek;Neuvedeno;Praha, 15000, Smíchov, Viktora Huga 377/4;Hlavní město Praha;Praha;Praha;31/05/1990;"1 990";aktivní;Služby profesních organizací;Profesní organizace;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,403";"50,076";f31b2957-663c-45b3-9408-52b5e724f2f4;"14,403";"50,076"
476633;Svaz dobrovolných ochránců životního prostředí, České Budějovice;Spolek;Neuvedeno;České Budějovice;Jihočeský kraj;České Budějovice;České Budějovice;15/01/1990;"1 990";aktivní;Ostatní služby ochrany životního prostředí;Environmentální záležitosti;není k dispozici;není k dispozici;není k dispozici;0;není k dispozici;NE;"14,474";"48,974";4396ec0e-1c3d-4728-92e0-8b3c55c963ce;"14,474";"48,974"
499692;Česká společnost chemického inženýrství z. s.;Spolek;Neuvedeno;Praha, 11000, Staré Město, Novotného lávka 200/5;Hlavní město Praha;Praha;Praha;10/04/1990;"1 990";aktivní;Služby hospodářských svazů;Ostatní;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,413";"50,085";c2fb2a39-44ef-49d0-81d0-acb4eda4ca45;"14,413";"50,085"
465941;OB Chomutov;Pobočný spolek;Neuvedeno;Chomutov,;Ústecký kraj;Chomutov;Chomutov;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"13,418";"50,46";9f70296b-04cc-4a86-bd45-5156e7f1ec31;"13,418";"50,46"
512869;Český rybářský svaz, z. s., místní organizace Nová Včelnice;Pobočný spolek;Neuvedeno;Nová Včelnice, 37842, Nová Včelnice, Školní 42;Jihočeský kraj;Jindřichův Hradec;Nová Včelnice;01/08/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"15,075";"49,244";80846bdd-b4ac-4387-81f5-88284541eaf8;"15,075";"49,244"
512877;AUTOMOTO KLUB Třeboň v AČR;Pobočný spolek;Neuvedeno;Třeboň, 37901, Třeboň II, Boženy Němcové 817;Jihočeský kraj;Jindřichův Hradec;Třeboň;27/06/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,754";"49,005";0b7089e2-8b5a-4e70-a5f6-c05fe2bcd4b2;"14,754";"49,005"
530891;Sdružení Banát;Spolek;Neuvedeno;Praha 5, Zapova 20, PSČ 150 00;Hlavní město Praha;Praha;Praha;20/03/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,391";"50,074";cc1b3f60-ed26-4008-a0ff-a9c29c4e1114;"14,391";"50,074"
